classification_entry_id;position;average_speed;total_laps;points;status;rider_id;rider.riders_api_uuid;team_id;constructor_id;session_id;time_in_sec
64afc9c8-9606-4937-9289-9247d6ac7e1a;1.0;142.5;26;25;INSTND;487440af-cfa9-478a-903b-4e893ee18d3a;4a439bde-305a-4995-b3e7-783fa99f784a;83d499d5-4a7d-45fc-8998-78a879279bcf;3a036648-7b14-4257-8c62-245e47e4d42b;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2747.541
dc18b0f9-d3c5-4ff7-8712-53618cb52d0d;2.0;141.5;26;20;INSTND;f55b433d-38b8-4d1d-bb3a-a709c82a0260;23e50438-a657-4fb0-a190-3262b5472f29;4728a8ee-8466-47f5-bb35-529b5c4453ef;b9d93efb-3cd0-4681-9de4-c412a866d568;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2767.448
e8e37092-4f9a-4fff-9857-cbc6ff20b0a7;3.0;141.2;26;16;INSTND;2614e0f6-7e02-4076-a746-50f43fe3143c;71052114-5bce-4307-908c-4cc2bd387aac;39ab562f-a111-4e4d-b779-e0ca3d05e668;b9d93efb-3cd0-4681-9de4-c412a866d568;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2774.073
185c8c26-335c-42b8-af05-a74794493b49;4.0;141.0;26;13;INSTND;a6108385-dd4c-490d-b02e-542ed0275f79;ea39a0af-95d3-4a37-81a7-f332efdb9216;c3322c16-1d0a-4e68-a236-fb831f9ce7d1;be77c017-cc37-41eb-aa09-2977f1789b0f;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2777.172
9ea4c9e8-d304-4c4a-945d-0d4d5417837f;5.0;140.6;26;11;INSTND;66ee98b2-239c-487f-8913-aab8493ce280;71df6f0d-51c3-4cdb-9f5c-51939e6f33f2;96304d85-f379-444d-bb68-2e645fbe85a4;be77c017-cc37-41eb-aa09-2977f1789b0f;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2785.677
aacf431c-523d-4627-a497-e562c96eebd6;6.0;139.5;26;10;INSTND;201ae7a4-0dc7-4191-be71-d91ac0330090;a7b4d63f-45b3-402e-b66c-001ed8a62934;be89d221-ad35-4a09-8787-b16d1d7f434a;3a036648-7b14-4257-8c62-245e47e4d42b;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2807.068
2684a1fb-a140-46f1-80e1-e97963aa41ad;7.0;139.0;26;9;INSTND;58448742-f520-466a-a1a1-bf3286cce9c3;eec1f7dc-b115-44f6-82aa-73130e5c92cf;4467c3c1-5f34-47fc-bf89-85bc4a917dc1;10d5e2bc-4b0b-4875-b936-3962fbb1b877;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2817.843
ea87e700-a384-4a31-a9a9-562e9a184691;8.0;139.0;26;8;INSTND;6c33de41-f014-4f17-8dc9-e6f36e61026a;525b1551-f10b-4cfd-9b43-59af6fca654b;a730b7a0-edcc-4ea1-ae11-baa3f8ad60fc;b9d93efb-3cd0-4681-9de4-c412a866d568;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2817.904
39bbdfb0-fe0f-4a48-82f6-d58899034e48;9.0;138.2;26;7;INSTND;0c9405ff-e879-498c-964d-b39409361a6c;a1311c17-1099-4893-bba0-347bf43226a4;338bd219-f7c9-479d-acb3-a9221ba6f902;10d5e2bc-4b0b-4875-b936-3962fbb1b877;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2833.334
b83103ab-bc01-4925-9728-af78e9f2f371;10.0;138.2;26;6;INSTND;eb47c439-e136-40ff-9534-5c612853f529;244b6f51-ac33-40ee-876d-9401dc9d1346;88f5f58f-d5fc-4e32-8f81-8c18b963df7b;10d5e2bc-4b0b-4875-b936-3962fbb1b877;39581f5a-e003-42ee-9811-6b03b3f3ce8d;2834.07
